x0	y0f0	y0f10	y0f20	x1	y1f0	y1f10	y1f20	x2	y2f0	y2f10	y2f20	x3	y3f0	y3f10	y3f20	x4	y4f0	y4f10	y4f20	x5	y5f0	y5f10	y5f20	x6	y6f0	y6f10	y6f20	x7	y7f0	y7f10	y7f20	x8	y8f0	y8f10	y8f20	x9	y9f0	y9f10	y9f20	x10	y10f0	y10f10	y10f20	x11	y11f0	y11f10	y11f20	x12	y12f0	y12f10	y12f20	x13	y13f0	y13f10	y13f20	x14	y14f0	y14f10	y14f20	x15	y15f0	y15f10	y15f20	x16	y16f0	y16f10	y16f20	x17	y17f0	y17f10	y17f20
1857.866388	0.000000	0.000000	0.000000	427.377926	0.000000	0.000036	0.000002	2904.100334	0.000001	0.000001	0.000001	0.418833	0.029704	0.000000	0.000001	0.590301	0.138285	0.135233	0.133912	124.573742	0.000522	0.000498	0.000636	471.631204	0.000000	0.000000	0.000000	471.657918	0.000013	0.000008	0.000005	81.352259	0.000168	0.000552	0.000524	0.590301	0.696207	0.682026	0.607556	18.999056	0.001425	0.002726	0.002755	1736.313602	0.000000	0.000000	0.000000	31.390857	0.000000	0.000000	0.000000	377576.466535	0.000000	0.000000	0.000000	377576.457726	0.000000	0.000000	0.000000	0.602157	1.109724	0.852180	0.804858	104.104816	0.000220	0.000285	0.000874	52.552408	0.000441	0.000570	0.001749
1870.418227	0.000000	0.000000	0.000000	430.283612	0.000000	0.000029	0.000003	2923.838127	0.000001	0.000001	0.000001	0.421680	0.034047	0.000000	0.000000	0.594314	0.143199	0.140516	0.139333	126.967069	0.000472	0.000433	0.000563	474.837327	0.000000	0.000000	0.000000	474.863779	0.000015	0.000010	0.000006	81.905362	0.000156	0.000547	0.000519	0.594314	0.693359	0.676985	0.601116	19.128228	0.001525	0.002838	0.002803	1748.107719	0.000000	0.000000	0.000000	31.603681	0.000000	0.000000	0.000000	380143.558513	0.000000	0.000000	0.000000	380143.549790	0.000000	0.000000	0.000000	0.606054	1.100795	0.836677	0.789956	104.793030	0.000236	0.000263	0.000880	52.896515	0.000472	0.000526	0.001760
1882.970067	0.000000	0.000000	0.000000	433.189298	0.000000	0.000023	0.000003	2943.575920	0.000001	0.000001	0.000001	0.424528	0.038880	0.000000	0.000000	0.598328	0.148184	0.145857	0.144802	129.360397	0.000419	0.000366	0.000480	478.043449	0.000000	0.000000	0.000000	478.069640	0.000017	0.000012	0.000007	82.458466	0.000147	0.000542	0.000515	0.598328	0.690616	0.672125	0.594938	19.257400	0.001630	0.002950	0.002844	1759.901836	0.000000	0.000000	0.000000	31.816506	0.000000	0.000000	0.000000	382710.650490	0.000000	0.000000	0.000000	382710.641854	0.000000	0.000000	0.000000	0.609951	1.092201	0.821586	0.775462	105.481244	0.000251	0.000243	0.000884	53.240622	0.000502	0.000487	0.001768
1895.521906	0.000000	0.000000	0.000000	436.094983	0.000000	0.000018	0.000004	2963.313712	0.000001	0.000001	0.000001	0.427375	0.044147	0.000000	0.000000	0.602341	0.153211	0.151227	0.150291	131.753724	0.000365	0.000299	0.000392	481.249572	0.000000	0.000000	0.000000	481.275500	0.000020	0.000014	0.000008	83.011569	0.000142	0.000537	0.000512	0.602341	0.687982	0.667456	0.589037	19.386572	0.001737	0.003058	0.002879	1771.695953	0.000000	0.000000	0.000000	32.029330	0.000000	0.000000	0.000000	385277.742468	0.000000	0.000000	0.000000	385277.733918	0.000000	0.000000	0.000000	0.613848	1.083951	0.806909	0.761375	106.169458	0.000265	0.000226	0.000886	53.584729	0.000530	0.000452	0.001771
1908.073746	0.000000	0.000000	0.000000	439.000669	0.000000	0.000014	0.000004	2983.051505	0.000002	0.000002	0.000002	0.430223	0.049781	0.000000	0.000000	0.606355	0.158254	0.156599	0.155772	134.147051	0.000311	0.000236	0.000307	484.455694	0.000000	0.000000	0.000000	484.481361	0.000023	0.000016	0.000010	83.564672	0.000140	0.000530	0.000509	0.606355	0.685459	0.662987	0.583426	19.515744	0.001844	0.003158	0.002910	1783.490070	0.000000	0.000000	0.000000	32.242154	0.000000	0.000000	0.000000	387844.834445	0.000000	0.000000	0.000000	387844.825982	0.000000	0.000000	0.000000	0.617746	1.076052	0.792646	0.747696	106.857672	0.000278	0.000212	0.000886	53.928836	0.000557	0.000424	0.001772
1920.625585	0.000000	0.000000	0.000000	441.906355	0.000000	0.000011	0.000005	3002.789298	0.000002	0.000002	0.000002	0.433071	0.055698	0.000000	0.000000	0.610368	0.163284	0.161945	0.161216	136.540379	0.000259	0.000180	0.000230	487.661817	0.000000	0.000000	0.000000	487.687222	0.000026	0.000019	0.000012	84.117775	0.000140	0.000523	0.000506	0.610368	0.683050	0.658727	0.578118	19.644916	0.001946	0.003246	0.002941	1795.284187	0.000000	0.000000	0.000000	32.454978	0.000000	0.000000	0.000000	390411.926423	0.000000	0.000000	0.000000	390411.918046	0.000000	0.000000	0.000000	0.621643	1.068506	0.778797	0.734422	107.545886	0.000291	0.000201	0.000884	54.272943	0.000581	0.000401	0.001768
1933.177425	0.000000	0.000000	0.000000	444.812040	0.000000	0.000008	0.000005	3022.527090	0.000002	0.000002	0.000002	0.435918	0.061799	0.000000	0.000000	0.614381	0.168274	0.167236	0.166597	138.933706	0.000210	0.000134	0.000165	490.867940	0.000000	0.000000	0.000000	490.893083	0.000029	0.000022	0.000014	84.670878	0.000144	0.000515	0.000503	0.614381	0.680759	0.654683	0.573126	19.774088	0.002042	0.003319	0.002972	1807.078304	0.000000	0.000000	0.000000	32.667803	0.000000	0.000000	0.000000	392979.018401	0.000000	0.000000	0.000000	392979.010109	0.000000	0.000000	0.000000	0.625540	1.061311	0.765362	0.721553	108.234100	0.000301	0.000193	0.000880	54.617050	0.000603	0.000385	0.001761
1945.729264	0.000000	0.000000	0.000000	447.717726	0.000000	0.000006	0.000006	3042.264883	0.000003	0.000003	0.000003	0.438766	0.067974	0.000000	0.000000	0.618395	0.173193	0.172444	0.171886	141.327033	0.000167	0.000097	0.000113	494.074062	0.000000	0.000000	0.000000	494.098944	0.000032	0.000025	0.000016	85.223982	0.000150	0.000505	0.000500	0.618395	0.678589	0.650864	0.568462	19.903260	0.002127	0.003376	0.003007	1818.872420	0.000000	0.000000	0.000000	32.880627	0.000000	0.000000	0.000000	395546.110378	0.000000	0.000000	0.000000	395546.102173	0.000000	0.000000	0.000000	0.629437	1.054464	0.752341	0.709086	108.922314	0.000311	0.000188	0.000875	54.961157	0.000622	0.000376	0.001750
1958.281104	0.000000	0.000000	0.000000	450.623411	0.000000	0.000005	0.000007	3062.002676	0.000003	0.000003	0.000003	0.441613	0.074100	0.000000	0.000000	0.622408	0.178015	0.177540	0.177055	143.720361	0.000129	0.000070	0.000074	497.280185	0.000000	0.000000	0.000000	497.304805	0.000036	0.000028	0.000019	85.777085	0.000158	0.000493	0.000495	0.622408	0.676542	0.647278	0.564137	20.032432	0.002199	0.003413	0.003046	1830.666537	0.000000	0.000000	0.000000	33.093451	0.000000	0.000000	0.000000	398113.202356	0.000000	0.000000	0.000000	398113.194237	0.000000	0.000000	0.000000	0.633335	1.047956	0.739731	0.697017	109.610528	0.000319	0.000186	0.000868	55.305264	0.000639	0.000373	0.001736
1970.832943	0.000000	0.000000	0.000000	453.529097	0.000000	0.000003	0.000008	3081.740468	0.000004	0.000004	0.000004	0.444461	0.080047	0.000000	0.000000	0.626421	0.182710	0.182496	0.182076	146.113688	0.000097	0.000053	0.000046	500.486307	0.000000	0.000000	0.000000	500.510666	0.000039	0.000031	0.000021	86.330188	0.000167	0.000480	0.000490	0.626421	0.674622	0.643933	0.560163	20.161605	0.002256	0.003431	0.003091	1842.460654	0.000000	0.000000	0.000000	33.306276	0.000000	0.000000	0.000000	400680.294333	0.000000	0.000000	0.000000	400680.286301	0.000000	0.000000	0.000000	0.637232	1.041777	0.727533	0.685345	110.298742	0.000326	0.000188	0.000860	55.649371	0.000652	0.000376	0.001720
