x	baseline	max	best	g0	g1	g2	g3	g4	0f0	0f10	0f20	1f0	1f10	1f20	2f0	2f10	2f20	3f0	3f10	3f20	4f0	4f10	4f20	5f0	5f10	5f20	6f0	6f10	6f20
166	0.000000	1.000000	0.805747	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.777286	0.871850	0.914655	0.926571	0.942723	0.934641	0.871850	0.907659	0.946103	0.935209	0.871850	0.858624	0.919011	0.947871	0.923578	0.902843	0.911889	0.893836	0.947871	0.947871	0.899758
167	0.000000	1.000000	0.808933	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.781735	0.874561	0.916004	0.929838	0.945305	0.935209	0.873750	0.915031	0.947442	0.940683	0.886937	0.868374	0.919685	0.949184	0.924055	0.903891	0.915987	0.899343	0.951407	0.951407	0.903891
168	0.000000	1.000000	0.808975	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.791498	0.886937	0.919685	0.936989	0.946068	0.942723	0.874561	0.921700	0.947871	0.943183	0.887008	0.871850	0.921700	0.953895	0.929683	0.906214	0.917291	0.901684	0.952886	0.952480	0.907659
169	0.000000	1.000000	0.837657	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.808933	0.887342	0.921700	0.940683	0.946103	0.945305	0.876085	0.925429	0.953895	0.947871	0.887680	0.886937	0.922685	0.956821	0.929838	0.906637	0.923578	0.903891	0.953895	0.956821	0.921700
170	0.000000	1.000000	0.851011	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.811539	0.887680	0.923736	0.942125	0.947871	0.946103	0.882125	0.929838	0.959013	0.949184	0.894619	0.887680	0.926231	0.959013	0.934641	0.909996	0.924055	0.907632	0.956821	0.961681	0.924055
171	0.000000	1.000000	0.858080	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.822395	0.891686	0.924055	0.943183	0.952480	0.947871	0.889472	0.934339	0.961063	0.949846	0.899343	0.893294	0.926571	0.961681	0.943946	0.914053	0.930720	0.907659	0.959013	0.963800	0.934641
172	0.000000	1.000000	0.861572	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.828867	0.892206	0.931380	0.945305	0.956821	0.960891	0.893294	0.946068	0.961919	0.956821	0.901684	0.894619	0.928385	0.963800	0.946103	0.919685	0.934641	0.911889	0.959611	0.964583	0.943946
173	0.000000	1.000000	0.870025	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.842026	0.893294	0.943946	0.946103	0.959013	0.961063	0.894619	0.946103	0.963800	0.960891	0.902409	0.899343	0.929838	0.964583	0.947871	0.922685	0.940683	0.921700	0.960891	0.965933	0.946103
174	0.000000	1.000000	0.872466	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.842123	0.905144	0.946103	0.947871	0.960891	0.963800	0.899885	0.947442	0.965933	0.961681	0.902484	0.901684	0.934339	0.965933	0.951407	0.923578	0.945305	0.923578	0.963800	0.970754	0.947871
175	0.000000	1.000000	0.877726	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.850513	0.907632	0.947442	0.951407	0.961681	0.964583	0.901684	0.953895	0.967542	0.963800	0.903891	0.902409	0.934641	0.967148	0.956821	0.923778	0.946103	0.924055	0.963958	0.971055	0.951407
