x0	y0f0	y0f10	y0f20	x1	y1f0	y1f10	y1f20	x2	y2f0	y2f10	y2f20	x3	y3f0	y3f10	y3f20	x4	y4f0	y4f10	y4f20	x5	y5f0	y5f10	y5f20	x6	y6f0	y6f10	y6f20	x7	y7f0	y7f10	y7f20	x8	y8f0	y8f10	y8f20	x9	y9f0	y9f10	y9f20	x10	y10f0	y10f10	y10f20	x11	y11f0	y11f10	y11f20	x12	y12f0	y12f10	y12f20	x13	y13f0	y13f10	y13f20	x14	y14f0	y14f10	y14f20	x15	y15f0	y15f10	y15f20	x16	y16f0	y16f10	y16f20	x17	y17f0	y17f10	y17f20
2.408020	0.051964	0.000000	0.014459	0.403523	0.213457	0.000002	0.058695	32.294495	0.000298	0.000000	0.000000	22.134779	0.001338	0.000000	0.000000	4.497010	0.002729	0.018337	0.033618	76.516916	0.000336	0.000000	0.000371	1029.212451	0.000000	0.000000	0.000000	0.412480	0.000000	1.724039	4.336804	0.165952	0.000000	0.035905	0.067198	6.095387	0.000032	0.000359	0.001425	0.795446	0.090269	0.000083	0.000099	741.746983	0.000040	0.000050	0.000062	588.270198	0.000082	0.000087	0.000092	585.830573	0.000012	0.000025	0.000043	33.361706	0.000000	0.000000	0.000000	3.179947	0.010830	0.015572	0.007961	0.409532	1.281765	0.184400	0.377387	0.824248	0.466889	0.812496	1.014536
2.419004	0.050740	0.000000	0.013994	0.405493	0.209778	0.000001	0.052050	32.443231	0.000316	0.000000	0.000000	22.235154	0.001421	0.000000	0.000000	4.518355	0.003113	0.017941	0.032049	76.891846	0.000353	0.000000	0.000363	1034.235761	0.000000	0.000000	0.000000	0.414421	0.000000	1.706217	4.419418	0.166765	0.000000	0.036256	0.058727	6.125254	0.000020	0.000267	0.001250	0.799343	0.087733	0.000062	0.000075	745.380117	0.000036	0.000046	0.000060	591.151471	0.000079	0.000085	0.000092	588.700444	0.000010	0.000022	0.000039	33.517887	0.000000	0.000000	0.000000	3.199907	0.010088	0.015491	0.007615	0.411538	1.287254	0.177840	0.377276	0.828146	0.460473	0.800011	1.007998
2.429988	0.049312	0.000000	0.013530	0.407463	0.206062	0.000001	0.045759	32.591967	0.000344	0.000000	0.000000	22.335528	0.001496	0.000000	0.000000	4.539699	0.003601	0.017532	0.030581	77.266776	0.000369	0.000000	0.000355	1039.259071	0.000000	0.000000	0.000000	0.416362	0.000000	1.690406	4.499841	0.167579	0.000000	0.037599	0.051117	6.155121	0.000012	0.000196	0.001091	0.803241	0.085040	0.000046	0.000056	749.013251	0.000032	0.000043	0.000059	594.032744	0.000075	0.000083	0.000092	591.570314	0.000008	0.000019	0.000035	33.674068	0.000000	0.000000	0.000000	3.219867	0.009384	0.015445	0.007297	0.413545	1.293507	0.171820	0.377109	0.832044	0.454475	0.787640	1.001055
2.440971	0.047681	0.000000	0.013071	0.409433	0.202361	0.000000	0.039876	32.740702	0.000382	0.000000	0.000000	22.435903	0.001558	0.000000	0.000000	4.561043	0.004190	0.017107	0.029211	77.641706	0.000382	0.000000	0.000348	1044.282381	0.000000	0.000000	0.000000	0.418304	0.000000	1.676680	4.577775	0.168392	0.000000	0.039929	0.044358	6.184988	0.000007	0.000142	0.000947	0.807139	0.082207	0.000034	0.000042	752.646385	0.000029	0.000040	0.000057	596.914018	0.000071	0.000080	0.000091	594.440185	0.000006	0.000016	0.000032	33.830249	0.000000	0.000000	0.000000	3.239827	0.008718	0.015422	0.007004	0.415552	1.300501	0.166369	0.376883	0.835943	0.448878	0.775394	0.993712
2.451955	0.045857	0.000000	0.012625	0.411404	0.198726	0.000000	0.034442	32.889438	0.000427	0.000000	0.000000	22.536278	0.001606	0.000000	0.000000	4.582388	0.004876	0.016666	0.027934	78.016635	0.000392	0.000000	0.000341	1049.305690	0.000000	0.000000	0.000000	0.420245	0.000000	1.665095	4.652916	0.169205	0.000000	0.043240	0.038434	6.214855	0.000004	0.000101	0.000818	0.811036	0.079256	0.000025	0.000031	756.279519	0.000026	0.000037	0.000055	599.795291	0.000067	0.000077	0.000090	597.310056	0.000005	0.000014	0.000029	33.986431	0.000000	0.000000	0.000000	3.259787	0.008085	0.015412	0.006737	0.417559	1.308208	0.161511	0.376589	0.839841	0.443661	0.763283	0.985974
2.462939	0.043854	0.000000	0.012199	0.413374	0.195199	0.000000	0.029480	33.038174	0.000481	0.000000	0.000000	22.636652	0.001638	0.000000	0.000000	4.603732	0.005653	0.016207	0.026748	78.391565	0.000399	0.000000	0.000335	1054.329000	0.000000	0.000000	0.000000	0.422186	0.000000	1.655696	4.724957	0.170018	0.000000	0.047525	0.033324	6.244722	0.000003	0.000071	0.000705	0.814934	0.076207	0.000018	0.000023	759.912653	0.000023	0.000035	0.000054	602.676565	0.000063	0.000074	0.000089	600.179926	0.000004	0.000012	0.000027	34.142612	0.000000	0.000000	0.000000	3.279747	0.007484	0.015407	0.006495	0.419565	1.316596	0.157262	0.376222	0.843740	0.438804	0.751315	0.977850
2.473923	0.041694	0.000000	0.011800	0.415344	0.191816	0.000000	0.025005	33.186910	0.000540	0.000000	0.000000	22.737027	0.001654	0.000000	0.000000	4.625076	0.006513	0.015732	0.025647	78.766495	0.000402	0.000000	0.000330	1059.352310	0.000000	0.000000	0.000000	0.424128	0.000000	1.648513	4.793591	0.170831	0.000000	0.052778	0.029001	6.274589	0.000002	0.000049	0.000606	0.818832	0.073086	0.000013	0.000017	763.545787	0.000020	0.000032	0.000053	605.557838	0.000058	0.000071	0.000088	603.049797	0.000003	0.000011	0.000026	34.298793	0.000000	0.000000	0.000000	3.299707	0.006912	0.015396	0.006278	0.421572	1.325628	0.153633	0.375771	0.847638	0.434286	0.739495	0.969347
2.484907	0.039402	0.000000	0.011437	0.417314	0.188605	0.000000	0.021014	33.335645	0.000604	0.000000	0.000000	22.837401	0.001651	0.000000	0.000000	4.646421	0.007447	0.015241	0.024628	79.141425	0.000403	0.000000	0.000327	1064.375620	0.000000	0.000000	0.000000	0.426069	0.000000	1.643559	4.858510	0.171644	0.000000	0.058986	0.025440	6.304457	0.000001	0.000034	0.000522	0.822729	0.069916	0.000010	0.000012	767.178921	0.000017	0.000031	0.000053	608.439112	0.000054	0.000068	0.000086	605.919667	0.000003	0.000010	0.000025	34.454974	0.000000	0.000000	0.000000	3.319668	0.006368	0.015373	0.006088	0.423579	1.335264	0.150625	0.375227	0.851536	0.430084	0.727828	0.960473
2.495891	0.037007	0.000000	0.011117	0.419284	0.185584	0.000000	0.017497	33.484381	0.000671	0.000000	0.000000	22.937776	0.001632	0.000000	0.000000	4.667765	0.008441	0.014736	0.023687	79.516355	0.000400	0.000000	0.000325	1069.398929	0.000000	0.000000	0.000000	0.428010	0.000000	1.640834	4.919406	0.172458	0.000000	0.066134	0.022615	6.334324	0.000000	0.000023	0.000450	0.826627	0.066721	0.000007	0.000009	770.812055	0.000015	0.000029	0.000052	611.320385	0.000050	0.000065	0.000085	608.789538	0.000002	0.000009	0.000025	34.611155	0.000000	0.000000	0.000000	3.339628	0.005850	0.015330	0.005925	0.425585	1.345456	0.148230	0.374577	0.855435	0.426176	0.716316	0.951237
2.506875	0.034538	0.000000	0.010848	0.421255	0.182763	0.000000	0.014432	33.633117	0.000740	0.000000	0.000000	23.038151	0.001596	0.000000	0.000000	4.689109	0.009481	0.014220	0.022820	79.891284	0.000394	0.000000	0.000325	1074.422239	0.000000	0.000000	0.000000	0.429952	0.000000	1.640321	4.975978	0.173271	0.000000	0.074200	0.020504	6.364191	0.000000	0.000015	0.000392	0.830525	0.063527	0.000005	0.000006	774.445189	0.000013	0.000028	0.000052	614.201659	0.000046	0.000062	0.000084	611.659409	0.000002	0.000009	0.000026	34.767336	0.000000	0.000000	0.000001	3.359588	0.005358	0.015260	0.005791	0.427592	1.356153	0.146432	0.373807	0.859333	0.422539	0.704962	0.941649
