name	0	10	20
std-max	92.43014944769331	89.554905782975951	91.731643924626383
std-std	90.399610136452239	85.217673814165039	84.681611435997397
shape	89.213775178687456	89.912280701754383	89.181286549707593
total-error	89.278752436647167	88.840155945419099	89.749837556855098
euclidean-kurtosis	89.376218323586741	85.217673814165039	86.84210526315789
repeated-nodes	89.246263807667319	86.907082521117601	85.964912280701753
hardness	83.918128654970758	87.361923326835608	89.148797920727745
width	89.116309291747882	83.447043534762827	85.932423651721891
eig-max	88.90513320337881	87.443144899285244	87.329434697855746
nodes-per-datapoint	85.510071474983746	86.549707602339183	88.775178687459388
binary	88.645224171539951	86.582196231319031	85.396361273554248
std-mean	88.434048083170893	82.797270955165686	82.293697205977907
anomalies	47.53086419753086	87.004548408057175	88.206627680311883
eig-min	88.141650422352171	85.510071474983746	85.022742040285891
skewness	87.930474333983099	87.979207277452886	85.899935022742042
euclidean-mean	87.962962962962962	81.8388564002599	80.409356725146196
euclidean-median	87.118258609486674	86.565951916829107	86.208576998050674
leaf-corroboration	86.907082521117601	85.461338531513974	86.51721897335932
euclidean-skewness	86.825860948667966	78.94736842105263	76.88434048083171
euclidean-std	86.549707602339183	82.927225471085123	85.591293047433396
normalities	86.143599740090963	85.071474983755678	86.419753086419746
nodes-per-class	83.414554905782978	86.354775828460035	80.896686159844052
eig-max-rel	86.224821312540612	85.347628330084461	84.194282001299541
depth	86.19233268356075	85.298895386614689	82.212475633528257
kurtosis-max	85.28265107212475	85.526315789473685	85.071474983755678
impurity	50.292397660818715	85.152696556205328	83.512020792722538
leaves	84.259259259259252	85.136452241715403	84.990253411306043
nodes	84.697855750487321	85.120207927225465	83.999350227420393
mean	84.95776478232618	79.012345679012341	80.864197530864189
categorical	84.113060428849906	80.10071474983755	81.351526965562044
normality	84.080571799870043	79.337231968810912	78.736192332683558
error-mean	83.495776478232614	81.530214424951268	83.528265107212476
dimensionality	82.716049382716051	76.591942820012989	77.550357374918775
variancecurve	80.734243014944767	78.281351526965565	76.949317738791422
kurtosis-mean	79.808317089018843	78.768680961663421	80.230669265756987
covariance	78.508771929824562	75.666016894087065	76.088369070825209
