0.632943,0.548823,0.508666,0.357616,0.357616,0.650697,3.000000,0.427786,0.404960,0.442018,,,0.522897,1.000000,0.530506,0.407496,0.475835,,,0.565450,2.000000,0.523883,0.527688
0.940572,0.940862,0.929424,0.919561,0.850394,0.954662,93.000000,0.901823,0.875591,0.858765,0.850725,,0.970348,1.000000,0.834397,0.842768,0.837754,0.848985,,0.924824,1.000000,0.906651,0.978367
0.525736,0.484376,0.455325,0.434604,0.435392,0.542312,4.000000,0.262785,0.222586,0.204103,0.195276,0.200207,0.470597,1.000000,0.311562,0.245048,0.206879,0.201243,0.215789,0.550870,1.000000,0.389536,0.362868
0.612500,0.632955,0.679545,0.818182,0.818182,0.863636,39.000000,0.676136,0.686364,0.682955,,,0.694318,12.000000,0.673864,0.701136,0.686364,,,0.709091,9.000000,0.688636,0.761364
0.862698,0.856349,0.855853,0.872024,0.638889,0.903274,68.000000,0.819940,0.791468,0.762996,0.727877,,0.858433,1.000000,0.853472,0.870833,0.849802,0.633234,,0.874802,12.000000,0.781250,0.862996
0.723970,0.718249,0.712338,0.719298,0.311594,0.745233,75.000000,0.727879,0.707475,0.689645,0.653318,,0.754863,1.000000,0.732170,0.744088,0.693364,0.667906,,0.745423,9.000000,0.682399,0.560259
0.610966,0.585931,0.572690,0.552655,0.580000,0.683310,2.000000,0.591431,0.591345,0.592138,0.589517,0.583707,0.595655,2.000000,0.556931,0.572793,0.585483,0.585379,0.560724,0.603276,144.000000,0.576310,0.666828
0.636931,0.623034,0.609069,0.594862,0.591931,0.649241,2.000000,0.508052,0.504603,0.501655,0.493569,0.481138,0.508931,4.000000,0.542793,0.545931,0.522586,0.488448,0.443897,0.596569,2.000000,0.563862,0.559276
0.952286,0.954707,0.959550,0.951431,0.983193,0.983193,100.000000,0.932631,0.941889,0.956274,0.954565,,0.956274,20.000000,0.868395,0.824954,0.962399,0.930494,,0.963253,22.000000,0.950292,0.919527
0.805318,0.769383,0.749901,0.749901,0.710280,0.805318,5.000000,0.828748,0.824141,0.823088,0.816375,,0.834145,4.000000,0.728709,0.786495,0.792681,0.763328,,0.824009,34.000000,0.806897,0.849678
0.873558,0.850000,0.834135,0.815385,0.815385,0.873558,5.000000,0.804968,0.803526,0.808494,,,0.836058,1.000000,0.786058,0.813622,0.812981,,,0.833013,38.000000,0.826122,0.887821
